Edge	Change	n	DataSetName
node11->EantT6857	0==>1	1	epi-2brad-t2-dollo
node11->EantT6857	0==>1	1	epi-2brad-total-dollo
node11->EantT6857	1==>0	3707	epi-2brad-t1-dollo
node11->EantT6857	1==>0	5972	epi-2brad-t2-dollo
node11->EantT6857	1==>0	6290	epi-2brad-t3-dollo
node11->EantT6857	1==>0	6355	epi-2brad-total-dollo
node11->EantT6857	1==>0	6596	epi-ddrad-t1-dollo
node11->EantT6857	1==>0	12156	epi-ddrad-t2-dollo
node11->EantT6857	1==>0	13984	epi-ddrad-t3-dollo
node11->EantT6857	1==>0	27114	epi-ddrad-total-dollo
node11->EantT6859a	0==>1	2	epi-2brad-t2-dollo
node11->EantT6859a	0==>1	1	epi-2brad-t3-dollo
node11->EantT6859a	0==>1	1	epi-2brad-total-dollo
node11->EantT6859a	1==>0	5805	epi-2brad-t1-dollo
node11->EantT6859a	1==>0	7922	epi-2brad-t2-dollo
node11->EantT6859a	1==>0	7618	epi-2brad-t3-dollo
node11->EantT6859a	1==>0	7261	epi-2brad-total-dollo
node11->EantT6859a	1==>0	5983	epi-ddrad-t1-dollo
node11->EantT6859a	1==>0	9404	epi-ddrad-t2-dollo
node11->EantT6859a	1==>0	11472	epi-ddrad-t3-dollo
node11->EantT6859a	1==>0	24395	epi-ddrad-total-dollo
node11->RblaD2864	0==>1	1	rana-2brad-t1-dollo
node11->RblaD2864	0==>1	1	rana-2brad-t2-dollo
node11->RblaD2864	0==>1	1	rana-2brad-t3-dollo
node11->RblaD2864	0==>1	1	rana-2brad-total-dollo
node11->RblaD2864	1==>0	745	rana-2brad-t1-dollo
node11->RblaD2864	1==>0	2445	rana-2brad-t2-dollo
node11->RblaD2864	1==>0	4092	rana-2brad-t3-dollo
node11->RblaD2864	1==>0	4674	rana-2brad-total-dollo
node11->RblaD2864	1==>0	6242	rana-ddrad-t1-dollo
node11->RblaD2864	1==>0	10358	rana-ddrad-t2-dollo
node11->RblaD2864	1==>0	15139	rana-ddrad-t3-dollo
node11->RblaD2864	1==>0	20339	rana-ddrad-total-dollo
node11->RblaD2865	0==>1	5	rana-2brad-t2-dollo
node11->RblaD2865	1==>0	986	rana-2brad-t1-dollo
node11->RblaD2865	1==>0	2708	rana-2brad-t2-dollo
node11->RblaD2865	1==>0	3582	rana-2brad-t3-dollo
node11->RblaD2865	1==>0	3932	rana-2brad-total-dollo
node11->RblaD2865	1==>0	14997	rana-ddrad-t1-dollo
node11->RblaD2865	1==>0	19753	rana-ddrad-t2-dollo
node11->RblaD2865	1==>0	22862	rana-ddrad-t3-dollo
node11->RblaD2865	1==>0	27771	rana-ddrad-total-dollo
node12->EtriT6836	0==>1	3	epi-2brad-t1-dollo
