taxon	dataset	sampling_depth	sample_ID	missing_sites	percent_missing
rana	ranaddrad	t1	Rber_T1113a	19994	29.791
rana	ranaddrad	t1	Rber_T1113b	30259	45.085
rana	ranaddrad	t1	Rber_T1114	47705	71.079
rana	ranaddrad	t1	Rbla_D2864	26684	39.759
rana	ranaddrad	t1	Rbla_D2865	35506	52.903
rana	ranaddrad	t1	Rchi_T2034a	54810	81.666
rana	ranaddrad	t1	Rchi_T2034b	50422	75.128
rana	ranaddrad	t1	Rchi_T2049	55078	82.065
rana	ranaddrad	t1	Rneo_T480	22149	33.002
rana	ranaddrad	t1	Rneo_T527	20072	29.907
rana	ranaddrad	t1	Rsph_T25870	31181	46.459
rana	ranaddrad	t1	Rsph_T26064	32439	48.333
rana	ranaddrad	t2	Rber_T1113a	58867	28.885
rana	ranaddrad	t2	Rber_T1113b	74139	36.379
rana	ranaddrad	t2	Rber_T1114	109552	53.756
rana	ranaddrad	t2	Rbla_D2864	81589	40.035
rana	ranaddrad	t2	Rbla_D2865	93728	45.991
rana	ranaddrad	t2	Rchi_T2034a	142782	70.062
rana	ranaddrad	t2	Rchi_T2034b	131479	64.515
rana	ranaddrad	t2	Rchi_T2049	142799	70.07
rana	ranaddrad	t2	Rneo_T480	65174	31.98
rana	ranaddrad	t2	Rneo_T527	61383	30.12
rana	ranaddrad	t2	Rsph_T25870	85759	42.081
rana	ranaddrad	t2	Rsph_T26064	86432	42.411
rana	ranaddrad	t3	Rber_T1113a	89422	29.183
rana	ranaddrad	t3	Rber_T1113b	106437	34.736
rana	ranaddrad	t3	Rber_T1114	139607	45.561
rana	ranaddrad	t3	Rbla_D2864	124521	40.637
rana	ranaddrad	t3	Rbla_D2865	134619	43.933
rana	ranaddrad	t3	Rchi_T2034a	192180	62.718
rana	ranaddrad	t3	Rchi_T2034b	180299	58.84
rana	ranaddrad	t3	Rchi_T2049	191582	62.523
rana	ranaddrad	t3	Rneo_T480	102652	33.5
rana	ranaddrad	t3	Rneo_T527	99509	32.475
rana	ranaddrad	t3	Rsph_T25870	124655	40.681
rana	ranaddrad	t3	Rsph_T26064	126130	41.162
rana	ranaddrad	total	Rber_T1113a	115175	30.165
rana	ranaddrad	total	Rber_T1113b	134361	35.19
rana	ranaddrad	total	Rber_T1114	167922	43.98
rana	ranaddrad	total	Rbla_D2864	159673	41.819
rana	ranaddrad	total	Rbla_D2865	169029	44.27
rana	ranaddrad	total	Rchi_T2034a	228669	59.89
rana	ranaddrad	total	Rchi_T2034b	217357	56.927
rana	ranaddrad	total	Rchi_T2049	230094	60.263
rana	ranaddrad	total	Rneo_T480	132534	34.711
rana	ranaddrad	total	Rneo_T527	129272	33.857
rana	ranaddrad	total	Rsph_T25870	155782	40.8
rana	ranaddrad	total	Rsph_T26064	156960	41.109
epi	epiddrad	t1	Ahah_R0089a	41136	95.299
epi	epiddrad	t1	Ahah_R0089b	41261	95.589
epi	epiddrad	t1	Ahah_R0090	41264	95.596
epi	epiddrad	t1	Eant_T6857	10273	23.799
epi	epiddrad	t1	Eant_T6859a	9627	22.303
epi	epiddrad	t1	Eant_T6859b	11448	26.521
epi	epiddrad	t1	Ebou_R0153	19042	44.114
epi	epiddrad	t1	Ebou_R0156	21814	50.536
epi	epiddrad	t1	Etri_T6836	10498	24.321
epi	epiddrad	t1	Etri_T6842	12337	28.581
epi	epiddrad	t1	Snub_R0158	35549	82.356
epi	epiddrad	t1	Snub_R0159	37090	85.926
epi	epiddrad	t2	Ahah_R0089a	109564	95.919
epi	epiddrad	t2	Ahah_R0089b	109757	96.088
epi	epiddrad	t2	Ahah_R0090	109797	96.123
epi	epiddrad	t2	Eant_T6857	25401	22.237
epi	epiddrad	t2	Eant_T6859a	22629	19.811
epi	epiddrad	t2	Eant_T6859b	24299	21.273
epi	epiddrad	t2	Ebou_R0153	49618	43.438
epi	epiddrad	t2	Ebou_R0156	52641	46.085
epi	epiddrad	t2	Etri_T6836	26914	23.562
epi	epiddrad	t2	Etri_T6842	27877	24.405
epi	epiddrad	t2	Snub_R0158	97023	84.94
epi	epiddrad	t2	Snub_R0159	98575	86.298
epi	epiddrad	t3	Ahah_R0089a	146473	95.32
epi	epiddrad	t3	Ahah_R0089b	146612	95.41
epi	epiddrad	t3	Ahah_R0090	146998	95.661
epi	epiddrad	t3	Eant_T6857	36210	23.564
epi	epiddrad	t3	Eant_T6859a	33029	21.494
epi	epiddrad	t3	Eant_T6859b	36043	23.456
epi	epiddrad	t3	Ebou_R0153	66209	43.087
epi	epiddrad	t3	Ebou_R0156	70420	45.827
epi	epiddrad	t3	Etri_T6836	38037	24.753
epi	epiddrad	t3	Etri_T6842	40437	26.315
epi	epiddrad	t3	Snub_R0158	128717	83.765
epi	epiddrad	t3	Snub_R0159	131737	85.73
epi	epiddrad	total	Ahah_R0089a	197665	94.836
epi	epiddrad	total	Ahah_R0089b	197575	94.793
epi	epiddrad	total	Ahah_R0090	198091	95.04
