taxon	sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
rana	rana.fq_ACCA	2150738	518237	461470	431174	395853	375341	344736	326278	305431	285256	268510	251801	234550	226951	202031	186830	172017	166864	155950	140155	128452	119339	108078	98113	92301	80172	73762	65007	60393	54006	47126	44190	38735	33055	29648	25806	23390	20244	18985	15701	15129	12797	12656	10655	10771	10497	9627	8956	8334	7894	7410	6947	6971	6829	5452	5731	4706	5807	5925	5844	5276	4529	4865	5135	4535	4350	3906	4102	3726	3460	3726	3397	2847	3150	2714	3051	2865	2568	2769	2488	2633	2883	2610	2683	2390	2366	2531	1696	1915	2119	1619	1477	1693	1873	2074	2297	1882	1623	1628	1760	125439
rana	rana.fq_AGAC	4931900	444821	317807	284050	258425	244403	227771	214546	196385	181591	174044	165419	145288	133210	120867	107337	97193	85387	80203	70996	63076	53742	47805	40919	37415	32937	26788	22445	21959	18513	16299	14699	13511	11267	9670	9038	9197	7692	8320	7234	6419	5525	5872	5837	5509	5529	5413	4971	4043	4071	3570	4446	3742	3432	3143	3065	2914	2755	2697	3234	2658	3334	3054	2239	2548	2711	2267	2391	2339	1727	2124	1801	1685	1802	1471	1746	1943	1914	1510	1500	1393	1447	1419	1573	1352	1450	1718	1053	956	1037	1178	1014	1134	1523	1257	1383	1140	1203	1005	1039	77870
rana	rana.fq_AGTG	1684923	307877	324589	329476	315106	299252	287997	285068	271700	264661	254776	242281	234829	227388	211546	204607	193981	188896	184034	174087	170269	157939	149361	142283	134314	127330	121126	112311	106094	97813	96411	84060	80856	72266	69476	63409	56228	53854	47183	43141	39396	34096	30474	28602	25525	23599	19314	18760	17334	14380	14170	12971	12136	11023	10335	9560	9010	8801	7843	7301	7589	7408	7013	6029	5610	6131	6371	6221	5773	5786	5995	5754	4804	5146	4986	4343	4576	4222	3303	3905	3939	4342	4338	3814	3714	3595	3732	3525	3324	2974	2781	2644	3301	2841	3061	2852	2212	2376	2382	2850	183274
rana	rana.fq_CATC	2724775	640478	414412	358759	338056	314393	304246	291656	274682	260331	246628	226730	219000	204426	192204	174938	162926	150389	136349	125662	114649	101708	96708	84528	79471	70172	63610	56295	50319	46187	42882	36074	34357	29496	26503	22903	22232	18914	17644	16649	14923	12440	10994	11168	11642	10058	8978	8180	8191	7510	6790	6291	6687	6258	5546	6084	5572	5531	5215	4542	5024	4633	4156	3411	4059	4151	3882	3532	3447	3419	3420	3425	3617	2833	3433	3138	2416	2440	2539	2656	3162	3102	2441	2577	2350	2205	2023	1996	1753	2108	1757	1866	1881	2220	1837	1831	1520	1495	1625	1646	120297
rana	rana.fq_CTAC	4897275	529589	481606	430962	372382	322567	279719	246318	204027	180386	151051	127799	103172	91480	77250	64313	53805	43694	36557	34149	27017	22987	19435	16091	15504	14166	13900	11688	11461	10398	9765	9139	8009	7738	7647	6361	6932	6649	5763	5418	5584	5290	4485	4713	4370	4391	4330	3573	3809	3611	3565	3301	3230	3126	3338	2666	3092	2891	2859	2555	2835	2447	2594	2769	2415	2406	2350	2268	2229	1846	2119	2098	1609	1910	1631	2130	1481	1576	1629	2020	1636	1261	1460	1460	1512	1167	1218	964	1225	1245	1221	1245	1303	1440	1371	1233	1142	1370	1087	1132	79262
rana	rana.fq_GACT	2939362	194451	173965	186433	191332	202210	210543	214582	217545	215991	211634	211491	204303	200100	198718	187178	183621	175277	172842	161115	160626	149582	140899	132499	126220	117757	110260	106213	97247	88990	84302	78275	71662	64744	62124	52309	49881	44473	41104	35674	33455	29209	26209	22943	20936	18553	17247	16289	15097	15082	12768	11686	11845	10144	9373	9481	8785	7742	9783	8760	9587	7946	7614	7190	6601	6360	6332	5965	5625	5245	4790	5525	5521	5299	4376	4998	5113	4742	4418	4666	4179	4445	4270	3985	3593	3769	3738	3953	3549	3164	3110	3121	3121	3248	2975	2938	2830	2782	2608	2769	217283
rana	rana.fq_GCTT	5353562	706291	534349	418688	341668	273131	225439	184152	152495	127005	105393	84465	74320	62435	50552	39106	35360	30487	26081	21393	19437	16667	15600	13874	11429	9645	9593	8803	7942	7129	7266	6045	6093	5489	5751	5515	4646	5102	4767	4807	3459	3891	4444	3550	3057	3433	3185	2835	3243	2816	2378	2569	2410	2265	2757	2874	2779	1785	2323	2519	1932	1894	1802	1877	1891	1561	1408	1671	1350	1110	1474	1240	1590	1257	1392	1486	1374	1034	1013	1404	1337	1001	1309	1107	987	987	1145	884	1061	827	934	838	915	666	528	821	945	952	679	604	57433
rana	rana.fq_GTGA	2346078	676833	362957	287511	254790	235874	232457	221554	215027	202910	206451	197698	194643	186409	183593	168539	166010	159538	157450	144476	142068	136035	129075	118808	114978	107754	103181	98528	91365	87218	79505	75768	71731	65237	60992	59186	50060	47063	42791	38166	35524	31547	29508	26045	23226	20363	18289	17073	15477	13950	13306	11941	11675	10718	9166	9170	9464	8423	7973	7133	6491	7129	6691	5701	6017	5724	5336	5191	5829	5012	5249	5444	4723	4071	4407	4652	4031	3885	4049	3809	3390	4095	3620	3544	3362	3273	3088	3039	3128	3143	2703	2297	2768	2825	2496	2793	2296	2622	2389	2043	173631
rana	rana.fq_GTGT	4658206	710885	370069	293513	259291	235481	213065	193189	184169	166276	157665	144426	134939	119063	114527	102175	93274	86519	77775	71148	65665	61381	54511	45303	43727	37855	32091	28528	27604	23178	20925	17766	15958	15040	12650	10308	9876	9978	9491	7991	7676	6538	6920	6066	5821	6137	4913	4930	4836	4936	4464	4066	4055	4429	3585	3262	3744	3276	2903	2892	2986	2831	3118	2639	2126	2213	2223	2358	2482	1979	2149	1792	1728	1729	1811	1684	1845	1626	1921	1841	1951	1821	1555	1726	1327	1359	1237	1508	1273	1544	1819	1274	1485	1424	1287	958	813	1202	1039	1147	84504
rana	rana.fq_TCAC	3284929	682754	588110	540591	485454	433447	383668	336850	298813	266514	231604	203717	175119	147822	126626	108223	93413	79025	66725	57377	48629	41757	37014	30088	25089	23082	19063	16351	15098	15425	14289	11188	10219	10543	10010	9048	7801	7749	6521	6707	6630	6249	5330	5746	4912	4786	5140	4375	4844	4719	4150	4289	3689	3773	3833	2909	3437	2744	2612	3094	3072	2867	2661	2522	2574	2461	2541	2492	2269	1807	2005	1804	1970	1972	1915	1894	1640	1679	1682	1574	1843	1410	1401	1358	1287	1484	1146	1397	1232	1212	1078	1152	1168	1276	1182	1458	1036	995	839	1128	74068
