sample	reads_consens	loci_assembly	clust_threshold	taxon	method
Ahah_R0089a	80067	2750	80	epi	ddRAD
Ahah_R0089b	80468	2708	80	epi	ddRAD
Ahah_R0090	73990	2635	80	epi	ddRAD
Eant_T6857	88703	18595	80	epi	ddRAD
Eant_T6859a	85349	18994	80	epi	ddRAD
Eant_T6859b	73079	18131	80	epi	ddRAD
Ebou_R0153	69547	13067	80	epi	ddRAD
Ebou_R0156	59322	12134	80	epi	ddRAD
Etri_T6836	92390	18343	80	epi	ddRAD
Etri_T6842	82941	17733	80	epi	ddRAD
Snub_R0158	74047	6203	80	epi	ddRAD
Snub_R0159	50099	5092	80	epi	ddRAD
Ahah_R0089a	83748	2720	81	epi	ddRAD
Ahah_R0089b	84214	2675	81	epi	ddRAD
Ahah_R0090	77421	2590	81	epi	ddRAD
Eant_T6857	92682	19496	81	epi	ddRAD
Eant_T6859a	89041	19909	81	epi	ddRAD
Eant_T6859b	76199	18987	81	epi	ddRAD
Ebou_R0153	72766	13617	81	epi	ddRAD
Ebou_R0156	61976	12670	81	epi	ddRAD
Etri_T6836	96438	19163	81	epi	ddRAD
Etri_T6842	86398	18523	81	epi	ddRAD
Snub_R0158	77537	6360	81	epi	ddRAD
Snub_R0159	52310	5230	81	epi	ddRAD
Ahah_R0089a	86665	2653	82	epi	ddRAD
Ahah_R0089b	87109	2620	82	epi	ddRAD
Ahah_R0090	80095	2546	82	epi	ddRAD
Eant_T6857	95593	20123	82	epi	ddRAD
Eant_T6859a	91775	20590	82	epi	ddRAD
Eant_T6859b	78474	19679	82	epi	ddRAD
Ebou_R0153	75065	14023	82	epi	ddRAD
Ebou_R0156	63945	13091	82	epi	ddRAD
Etri_T6836	99442	19825	82	epi	ddRAD
Etri_T6842	89087	19213	82	epi	ddRAD
Snub_R0158	79979	6453	82	epi	ddRAD
Snub_R0159	54000	5296	82	epi	ddRAD
Ahah_R0089a	166226	3459	83	epi	ddRAD
Ahah_R0089b	90655	2707	83	epi	ddRAD
Ahah_R0090	83190	2608	83	epi	ddRAD
Eant_T6857	99525	21047	83	epi	ddRAD
Eant_T6859a	95441	21505	83	epi	ddRAD
Eant_T6859b	81453	20566	83	epi	ddRAD
Ebou_R0153	77930	14618	83	epi	ddRAD
Ebou_R0156	66270	13664	83	epi	ddRAD
Etri_T6836	103114	20723	83	epi	ddRAD
Etri_T6842	92329	20042	83	epi	ddRAD
Snub_R0158	82912	6695	83	epi	ddRAD
Snub_R0159	55722	5446	83	epi	ddRAD
Ahah_R0089a	93451	2547	84	epi	ddRAD
Ahah_R0089b	93840	2523	84	epi	ddRAD
Ahah_R0090	86165	2427	84	epi	ddRAD
Eant_T6857	102479	21539	84	epi	ddRAD
Eant_T6859a	98327	22052	84	epi	ddRAD
Eant_T6859b	83831	21071	84	epi	ddRAD
Ebou_R0153	80383	14957	84	epi	ddRAD
Ebou_R0156	68242	13977	84	epi	ddRAD
Etri_T6836	106250	21212	84	epi	ddRAD
Etri_T6842	95117	20596	84	epi	ddRAD
Snub_R0158	85431	6629	84	epi	ddRAD
Snub_R0159	57340	5432	84	epi	ddRAD
Ahah_R0089a	96799	2444	85	epi	ddRAD
Ahah_R0089b	97189	2413	85	epi	ddRAD
Ahah_R0090	89334	2322	85	epi	ddRAD
Eant_T6857	105568	22148	85	epi	ddRAD
Eant_T6859a	101332	22659	85	epi	ddRAD
Eant_T6859b	86289	21681	85	epi	ddRAD
Ebou_R0153	82938	15310	85	epi	ddRAD
Ebou_R0156	70339	14294	85	epi	ddRAD
Etri_T6836	109441	21799	85	epi	ddRAD
Etri_T6842	98115	21134	85	epi	ddRAD
Snub_R0158	87948	6576	85	epi	ddRAD
Snub_R0159	58959	5390	85	epi	ddRAD
Ahah_R0089a	100568	2334	86	epi	ddRAD
Ahah_R0089b	100912	2315	86	epi	ddRAD
Ahah_R0090	92789	2233	86	epi	ddRAD
Eant_T6857	108848	22670	86	epi	ddRAD
Eant_T6859a	104451	23222	86	epi	ddRAD
Eant_T6859b	88884	22261	86	epi	ddRAD
Ebou_R0153	85530	15639	86	epi	ddRAD
Ebou_R0156	72527	14636	86	epi	ddRAD
Etri_T6836	112846	22351	86	epi	ddRAD
Etri_T6842	101039	21669	86	epi	ddRAD
Snub_R0158	90509	6469	86	epi	ddRAD
Snub_R0159	60632	5348	86	epi	ddRAD
Ahah_R0089a	107172	2171	87	epi	ddRAD
Ahah_R0089b	107846	2147	87	epi	ddRAD
Ahah_R0090	99000	2055	87	epi	ddRAD
Eant_T6857	114774	23489	87	epi	ddRAD
Eant_T6859a	109948	24080	87	epi	ddRAD
Eant_T6859b	93586	23090	87	epi	ddRAD
Ebou_R0153	90058	15955	87	epi	ddRAD
Ebou_R0156	76441	14967	87	epi	ddRAD
Etri_T6836	118725	23167	87	epi	ddRAD
Etri_T6842	106259	22445	87	epi	ddRAD
Snub_R0158	95081	6146	87	epi	ddRAD
Snub_R0159	63527	5051	87	epi	ddRAD
Ahah_R0089a	111927	2046	88	epi	ddRAD
Ahah_R0089b	112740	2038	88	epi	ddRAD
Ahah_R0090	103298	1946	88	epi	ddRAD
Eant_T6857	118573	23983	88	epi	ddRAD
Eant_T6859a	113645	24608	88	epi	ddRAD
Eant_T6859b	96780	23600	88	epi	ddRAD
Ebou_R0153	93174	16100	88	epi	ddRAD
Ebou_R0156	78862	15130	88	epi	ddRAD
Etri_T6836	122577	23571	88	epi	ddRAD
Etri_T6842	109928	22907	88	epi	ddRAD
Snub_R0158	98039	5875	88	epi	ddRAD
Snub_R0159	65521	4832	88	epi	ddRAD
Ahah_R0089a	117248	1899	89	epi	ddRAD
Ahah_R0089b	118078	1897	89	epi	ddRAD
Ahah_R0090	107986	1812	89	epi	ddRAD
Eant_T6857	122601	24305	89	epi	ddRAD
Eant_T6859a	117375	24921	89	epi	ddRAD
Eant_T6859b	99998	23977	89	epi	ddRAD
Ebou_R0153	96263	16105	89	epi	ddRAD
Ebou_R0156	81490	15141	89	epi	ddRAD
Etri_T6836	126630	23923	89	epi	ddRAD
Etri_T6842	113503	23293	89	epi	ddRAD
Snub_R0158	101019	5440	89	epi	ddRAD
Snub_R0159	67532	4476	89	epi	ddRAD
Ahah_R0089a	122942	1765	90	epi	ddRAD
Ahah_R0089b	123768	1770	90	epi	ddRAD
Ahah_R0090	113154	1690	90	epi	ddRAD
Eant_T6857	126843	24479	90	epi	ddRAD
Eant_T6859a	121543	25157	90	epi	ddRAD
Eant_T6859b	103369	24259	90	epi	ddRAD
Ebou_R0153	99771	15940	90	epi	ddRAD
Ebou_R0156	84454	14997	90	epi	ddRAD
Etri_T6836	131070	24156	90	epi	ddRAD
Etri_T6842	117331	23490	90	epi	ddRAD
Snub_R0158	104525	5051	90	epi	ddRAD
Snub_R0159	69627	4150	90	epi	ddRAD
Ahah_R0089a	129556	1632	91	epi	ddRAD
Ahah_R0089b	130170	1639	91	epi	ddRAD
Ahah_R0090	119214	1571	91	epi	ddRAD
Eant_T6857	131524	24411	91	epi	ddRAD
Eant_T6859a	126189	25128	91	epi	ddRAD
Eant_T6859b	107220	24276	91	epi	ddRAD
Ebou_R0153	103500	15474	91	epi	ddRAD
Ebou_R0156	87760	14579	91	epi	ddRAD
Etri_T6836	136028	24139	91	epi	ddRAD
Etri_T6842	121773	23521	91	epi	ddRAD
Snub_R0158	108138	4547	91	epi	ddRAD
Snub_R0159	72117	3731	91	epi	ddRAD
Ahah_R0089a	137242	1503	92	epi	ddRAD
Ahah_R0089b	137926	1503	92	epi	ddRAD
Ahah_R0090	126220	1457	92	epi	ddRAD
Eant_T6857	137490	24350	92	epi	ddRAD
Eant_T6859a	131927	25067	92	epi	ddRAD
Eant_T6859b	111951	24270	92	epi	ddRAD
Ebou_R0153	108069	14899	92	epi	ddRAD
Ebou_R0156	91418	14022	92	epi	ddRAD
Etri_T6836	141851	24103	92	epi	ddRAD
Etri_T6842	126899	23468	92	epi	ddRAD
Snub_R0158	112540	4032	92	epi	ddRAD
Snub_R0159	74986	3294	92	epi	ddRAD
Ahah_R0089a	145827	1362	93	epi	ddRAD
Ahah_R0089b	146267	1368	93	epi	ddRAD
Ahah_R0090	134035	1336	93	epi	ddRAD
Eant_T6857	143786	23808	93	epi	ddRAD
Eant_T6859a	138082	24606	93	epi	ddRAD
Eant_T6859b	117290	23833	93	epi	ddRAD
Ebou_R0153	113016	13867	93	epi	ddRAD
Ebou_R0156	95599	13032	93	epi	ddRAD
Etri_T6836	148069	23609	93	epi	ddRAD
Etri_T6842	132459	22921	93	epi	ddRAD
Snub_R0158	117129	3431	93	epi	ddRAD
Snub_R0159	78125	2795	93	epi	ddRAD
Ahah_R0089a	159032	1067	94	epi	ddRAD
Ahah_R0089b	159482	1054	94	epi	ddRAD
Ahah_R0090	146303	1023	94	epi	ddRAD
Eant_T6857	154938	21672	94	epi	ddRAD
Eant_T6859a	148482	22571	94	epi	ddRAD
Eant_T6859b	126274	21963	94	epi	ddRAD
Ebou_R0153	122534	11008	94	epi	ddRAD
Ebou_R0156	103615	10326	94	epi	ddRAD
Etri_T6836	158687	21449	94	epi	ddRAD
Etri_T6842	142127	20912	94	epi	ddRAD
Snub_R0158	124942	2434	94	epi	ddRAD
Snub_R0159	83468	1938	94	epi	ddRAD
Ahah_R0089a	167447	901	95	epi	ddRAD
Ahah_R0089b	168094	892	95	epi	ddRAD
Ahah_R0090	154092	862	95	epi	ddRAD
Eant_T6857	162605	19791	95	epi	ddRAD
Eant_T6859a	155898	20746	95	epi	ddRAD
Eant_T6859b	132626	20250	95	epi	ddRAD
Ebou_R0153	129096	9093	95	epi	ddRAD
Ebou_R0156	109328	8545	95	epi	ddRAD
Etri_T6836	166203	19526	95	epi	ddRAD
Etri_T6842	148966	19054	95	epi	ddRAD
Snub_R0158	130430	1961	95	epi	ddRAD
Snub_R0159	87123	1574	95	epi	ddRAD
Rber_T1113a	81636	34713	80	rana	ddRAD
Rber_T1113b	68730	32509	80	rana	ddRAD
Rber_T1114	48420	27139	80	rana	ddRAD
Rbla_D2864	63655	25925	80	rana	ddRAD
Rbla_D2865	58516	24984	80	rana	ddRAD
Rchi_T2034a	54055	17239	80	rana	ddRAD
Rchi_T2034b	61237	18454	80	rana	ddRAD
Rchi_T2049	53208	17153	80	rana	ddRAD
Rneo_T480	75140	32681	80	rana	ddRAD
Rneo_T527	70630	33066	80	rana	ddRAD
Rsph_T25870	83376	25916	80	rana	ddRAD
Rsph_T26064	85268	25907	80	rana	ddRAD
Rber_T1113a	85208	36505	81	rana	ddRAD
Rber_T1113b	71894	34284	81	rana	ddRAD
Rber_T1114	50399	28490	81	rana	ddRAD
Rbla_D2864	66441	27226	81	rana	ddRAD
Rbla_D2865	61021	26234	81	rana	ddRAD
Rchi_T2034a	56492	18118	81	rana	ddRAD
Rchi_T2034b	64036	19389	81	rana	ddRAD
Rchi_T2049	55569	17965	81	rana	ddRAD
Rneo_T480	78488	34387	81	rana	ddRAD
Rneo_T527	73655	34771	81	rana	ddRAD
Rsph_T25870	86945	27202	81	rana	ddRAD
Rsph_T26064	89117	27203	81	rana	ddRAD
Rber_T1113a	88267	37922	82	rana	ddRAD
Rber_T1113b	74260	35525	82	rana	ddRAD
Rber_T1114	52094	29594	82	rana	ddRAD
Rbla_D2864	68799	28295	82	rana	ddRAD
Rbla_D2865	63055	27207	82	rana	ddRAD
Rchi_T2034a	58474	18746	82	rana	ddRAD
Rchi_T2034b	66200	20089	82	rana	ddRAD
Rchi_T2049	57407	18626	82	rana	ddRAD
Rneo_T480	81099	35723	82	rana	ddRAD
Rneo_T527	76195	36133	82	rana	ddRAD
Rsph_T25870	89778	28207	82	rana	ddRAD
Rsph_T26064	92139	28186	82	rana	ddRAD
Rber_T1113a	91157	39334	83	rana	ddRAD
Rber_T1113b	76646	36842	83	rana	ddRAD
Rber_T1114	53739	30659	83	rana	ddRAD
Rbla_D2864	70943	29322	83	rana	ddRAD
Rbla_D2865	64920	28182	83	rana	ddRAD
Rchi_T2034a	60289	19403	83	rana	ddRAD
Rchi_T2034b	68268	20738	83	rana	ddRAD
Rchi_T2049	59176	19265	83	rana	ddRAD
Rneo_T480	83614	37076	83	rana	ddRAD
Rneo_T527	78508	37509	83	rana	ddRAD
Rsph_T25870	92670	29181	83	rana	ddRAD
Rsph_T26064	95066	29140	83	rana	ddRAD
Rber_T1113a	94182	40964	84	rana	ddRAD
Rber_T1113b	79017	38243	84	rana	ddRAD
Rber_T1114	55382	31918	84	rana	ddRAD
Rbla_D2864	73145	30455	84	rana	ddRAD
Rbla_D2865	66998	29282	84	rana	ddRAD
Rchi_T2034a	62261	20087	84	rana	ddRAD
Rchi_T2034b	70652	21470	84	rana	ddRAD
Rchi_T2049	61090	19952	84	rana	ddRAD
Rneo_T480	86369	38446	84	rana	ddRAD
Rneo_T527	81007	38946	84	rana	ddRAD
Rsph_T25870	95673	30276	84	rana	ddRAD
Rsph_T26064	98112	30170	84	rana	ddRAD
Rber_T1113a	97072	42384	85	rana	ddRAD
Rber_T1113b	81448	39548	85	rana	ddRAD
Rber_T1114	57141	33039	85	rana	ddRAD
Rbla_D2864	75500	31487	85	rana	ddRAD
Rbla_D2865	69029	30226	85	rana	ddRAD
Rchi_T2034a	64149	20593	85	rana	ddRAD
Rchi_T2034b	72906	22051	85	rana	ddRAD
Rchi_T2049	62899	20414	85	rana	ddRAD
Rneo_T480	89074	39828	85	rana	ddRAD
Rneo_T527	83513	40261	85	rana	ddRAD
Rsph_T25870	98672	31264	85	rana	ddRAD
Rsph_T26064	101189	31148	85	rana	ddRAD
Rber_T1113a	100521	43867	86	rana	ddRAD
Rber_T1113b	84244	40990	86	rana	ddRAD
Rber_T1114	58959	34244	86	rana	ddRAD
Rbla_D2864	77902	32537	86	rana	ddRAD
Rbla_D2865	71242	31232	86	rana	ddRAD
Rchi_T2034a	66292	21187	86	rana	ddRAD
Rchi_T2034b	75347	22759	86	rana	ddRAD
Rchi_T2049	65007	21002	86	rana	ddRAD
Rneo_T480	92150	41262	86	rana	ddRAD
Rneo_T527	86175	41694	86	rana	ddRAD
Rsph_T25870	102039	32245	86	rana	ddRAD
Rsph_T26064	104581	32162	86	rana	ddRAD
Rber_T1113a	106090	46417	87	rana	ddRAD
Rber_T1113b	88953	43310	87	rana	ddRAD
Rber_T1114	62105	36165	87	rana	ddRAD
Rbla_D2864	82130	34164	87	rana	ddRAD
Rbla_D2865	75117	32717	87	rana	ddRAD
Rchi_T2034a	69932	22099	87	rana	ddRAD
Rchi_T2034b	79604	23701	87	rana	ddRAD
Rchi_T2049	68549	21900	87	rana	ddRAD
Rneo_T480	96925	43478	87	rana	ddRAD
Rneo_T527	90850	43908	87	rana	ddRAD
Rsph_T25870	107560	33853	87	rana	ddRAD
Rsph_T26064	110330	33774	87	rana	ddRAD
Rber_T1113a	110361	48299	88	rana	ddRAD
Rber_T1113b	92465	45116	88	rana	ddRAD
Rber_T1114	64480	37701	88	rana	ddRAD
Rbla_D2864	85322	35444	88	rana	ddRAD
Rbla_D2865	77991	33989	88	rana	ddRAD
Rchi_T2034a	72652	22697	88	rana	ddRAD
Rchi_T2034b	82684	24333	88	rana	ddRAD
Rchi_T2049	71144	22495	88	rana	ddRAD
Rneo_T480	100522	45248	88	rana	ddRAD
Rneo_T527	94375	45814	88	rana	ddRAD
Rsph_T25870	111812	35157	88	rana	ddRAD
Rsph_T26064	114618	35016	88	rana	ddRAD
Rber_T1113a	114743	50219	89	rana	ddRAD
Rber_T1113b	96148	46968	89	rana	ddRAD
Rber_T1114	66840	39181	89	rana	ddRAD
Rbla_D2864	88445	36664	89	rana	ddRAD
Rbla_D2865	80866	35153	89	rana	ddRAD
Rchi_T2034a	75529	23230	89	rana	ddRAD
Rchi_T2034b	85918	24844	89	rana	ddRAD
Rchi_T2049	73897	22980	89	rana	ddRAD
Rneo_T480	104487	47010	89	rana	ddRAD
Rneo_T527	97824	47629	89	rana	ddRAD
Rsph_T25870	116092	36230	89	rana	ddRAD
Rsph_T26064	119147	36181	89	rana	ddRAD
Rber_T1113a	119598	52104	90	rana	ddRAD
Rber_T1113b	100234	48744	90	rana	ddRAD
Rber_T1114	69529	40586	90	rana	ddRAD
Rbla_D2864	91988	37716	90	rana	ddRAD
Rbla_D2865	84072	36214	90	rana	ddRAD
Rchi_T2034a	78661	23541	90	rana	ddRAD
Rchi_T2034b	89463	25184	90	rana	ddRAD
Rchi_T2049	77008	23333	90	rana	ddRAD
Rneo_T480	108749	48761	90	rana	ddRAD
Rneo_T527	101808	49385	90	rana	ddRAD
Rsph_T25870	120792	37289	90	rana	ddRAD
Rsph_T26064	124052	37218	90	rana	ddRAD
Rber_T1113a	125155	53940	91	rana	ddRAD
Rber_T1113b	104755	50492	91	rana	ddRAD
Rber_T1114	72486	42060	91	rana	ddRAD
Rbla_D2864	95811	38768	91	rana	ddRAD
Rbla_D2865	87463	37157	91	rana	ddRAD
Rchi_T2034a	81986	23740	91	rana	ddRAD
Rchi_T2034b	93336	25406	91	rana	ddRAD
Rchi_T2049	80349	23533	91	rana	ddRAD
Rneo_T480	113295	50410	91	rana	ddRAD
Rneo_T527	106013	51033	91	rana	ddRAD
Rsph_T25870	125993	38178	91	rana	ddRAD
Rsph_T26064	129220	38113	91	rana	ddRAD
Rber_T1113a	130882	55531	92	rana	ddRAD
Rber_T1113b	109705	52104	92	rana	ddRAD
Rber_T1114	75695	43402	92	rana	ddRAD
Rbla_D2864	99679	39545	92	rana	ddRAD
Rbla_D2865	91160	37882	92	rana	ddRAD
Rchi_T2034a	85675	23630	92	rana	ddRAD
Rchi_T2034b	97525	25337	92	rana	ddRAD
Rchi_T2049	83867	23449	92	rana	ddRAD
Rneo_T480	118051	51894	92	rana	ddRAD
Rneo_T527	110662	52599	92	rana	ddRAD
Rsph_T25870	131485	38750	92	rana	ddRAD
Rsph_T26064	134789	38719	92	rana	ddRAD
Rber_T1113a	138775	57420	93	rana	ddRAD
Rber_T1113b	116169	53930	93	rana	ddRAD
Rber_T1114	79551	44856	93	rana	ddRAD
Rbla_D2864	104660	40109	93	rana	ddRAD
Rbla_D2865	95615	38479	93	rana	ddRAD
Rchi_T2034a	90171	23366	93	rana	ddRAD
Rchi_T2034b	102802	24921	93	rana	ddRAD
Rchi_T2049	88282	23135	93	rana	ddRAD
Rneo_T480	123767	53481	93	rana	ddRAD
Rneo_T527	116093	54184	93	rana	ddRAD
Rsph_T25870	138575	39180	93	rana	ddRAD
Rsph_T26064	141885	39105	93	rana	ddRAD
Rber_T1113a	149256	59156	94	rana	ddRAD
Rber_T1113b	125072	55764	94	rana	ddRAD
Rber_T1114	85744	46257	94	rana	ddRAD
Rbla_D2864	111946	39462	94	rana	ddRAD
Rbla_D2865	102453	37972	94	rana	ddRAD
Rchi_T2034a	97095	21217	94	rana	ddRAD
Rchi_T2034b	110603	22590	94	rana	ddRAD
Rchi_T2049	94893	21012	94	rana	ddRAD
Rneo_T480	131940	55139	94	rana	ddRAD
Rneo_T527	124111	55807	94	rana	ddRAD
Rsph_T25870	148406	37938	94	rana	ddRAD
Rsph_T26064	151753	37751	94	rana	ddRAD
Rber_T1113a	156462	59873	95	rana	ddRAD
Rber_T1113b	130732	56605	95	rana	ddRAD
Rber_T1114	89477	46784	95	rana	ddRAD
Rbla_D2864	116651	38070	95	rana	ddRAD
Rbla_D2865	106649	36599	95	rana	ddRAD
Rchi_T2034a	101558	19064	95	rana	ddRAD
Rchi_T2034b	115683	20266	95	rana	ddRAD
Rchi_T2049	99209	18879	95	rana	ddRAD
Rneo_T480	137104	55814	95	rana	ddRAD
Rneo_T527	129125	56424	95	rana	ddRAD
Rsph_T25870	154324	35980	95	rana	ddRAD
Rsph_T26064	157780	35792	95	rana	ddRAD
