taxon	dataset	samp_depth	edge	sum_unambig	prop_unambig_change
epi	epi2brad	t1	11->Eant_T6857	9	0.03704
epi	epi2brad	t1	11->Eant_T6859a	9	0.03704
epi	epi2brad	t1	12->Etri_T6836	11	0.04527
epi	epi2brad	t1	12->Etri_T6842	10	0.04115
epi	epi2brad	t1	13->11	12	0.04938
epi	epi2brad	t1	13->12	10	0.04115
epi	epi2brad	t1	14->Ebou_R0153	27	0.11111
epi	epi2brad	t1	14->Ebou_R0156	21	0.08642
epi	epi2brad	t1	15->13	21	0.08642
epi	epi2brad	t1	15->14	46	0.1893
epi	epi2brad	t1	16->Snub_R0158	2	0.00823
epi	epi2brad	t1	16->Snub_R0159	2	0.00823
epi	epi2brad	t1	17->15	8	0.03292
epi	epi2brad	t1	17->16	39	0.16049
epi	epi2brad	t1	18->17	16	0.06584
epi	epi2brad	t1	18->Ahah_R0089a	0	0
epi	epi2brad	t1	18->Ahah_R0090	0	0
epi	epi2brad	t2	11->Eant_T6857	141	0.0597711
epi	epi2brad	t2	11->Eant_T6859a	161	0.0682493
epi	epi2brad	t2	12->Etri_T6836	151	0.0640102
epi	epi2brad	t2	12->Etri_T6842	117	0.0495973
epi	epi2brad	t2	13->11	341	0.1445528
epi	epi2brad	t2	13->12	346	0.1466723
epi	epi2brad	t2	14->Ebou_R0153	101	0.0428148
epi	epi2brad	t2	14->Ebou_R0156	114	0.0483256
epi	epi2brad	t2	15->13	102	0.0432387
epi	epi2brad	t2	15->14	347	0.1470962
epi	epi2brad	t2	16->Snub_R0158	7	0.0029674
epi	epi2brad	t2	16->Snub_R0159	11	0.004663
epi	epi2brad	t2	17->15	55	0.023315
epi	epi2brad	t2	17->16	222	0.0941077
epi	epi2brad	t2	18->Ahah_R0089a	3	0.0012717
epi	epi2brad	t2	18->Ahah_R0090	2	0.0008478
epi	epi2brad	t2	18->17	138	0.0584994
epi	epi2brad	t3	11->Eant_T6857	266	0.0651641
epi	epi2brad	t3	11->Eant_T6859a	293	0.0717785
epi	epi2brad	t3	12->Etri_T6836	278	0.0681039
epi	epi2brad	t3	12->Etri_T6842	244	0.0597746
epi	epi2brad	t3	13->11	675	0.1653601
epi	epi2brad	t3	13->12	643	0.1575208
epi	epi2brad	t3	14->Ebou_R0153	160	0.0391965
epi	epi2brad	t3	14->Ebou_R0156	173	0.0423812
epi	epi2brad	t3	15->13	160	0.0391965
epi	epi2brad	t3	15->14	510	0.1249388
epi	epi2brad	t3	16->Snub_R0158	15	0.0036747
epi	epi2brad	t3	16->Snub_R0159	19	0.0046546
epi	epi2brad	t3	17->15	76	0.0186183
epi	epi2brad	t3	17->16	342	0.0837825
epi	epi2brad	t3	18->Ahah_R0089a	5	0.0012249
epi	epi2brad	t3	18->Ahah_R0090	3	0.0007349
epi	epi2brad	t3	18->17	220	0.0538951
epi	epi2brad	total	11->Eant_T6857	360	0.0698487
epi	epi2brad	total	11->Eant_T6859a	413	0.0801319
epi	epi2brad	total	12->Etri_T6836	364	0.0706248
epi	epi2brad	total	12->Etri_T6842	320	0.0620877
epi	epi2brad	total	13->11	888	0.1722934
epi	epi2brad	total	13->12	830	0.16104
epi	epi2brad	total	14->Ebou_R0153	184	0.0357004
epi	epi2brad	total	14->Ebou_R0156	200	0.0388048
