,Unnamed: 0,number,locus_coverage,sum_coverage,clust_threshold
0,0,1,0,0,../epi2brad/clust_80_outfiles/clust_80_stats.txt
1,1,2,0,0,../epi2brad/clust_80_outfiles/clust_80_stats.txt
2,2,3,70778,70778,../epi2brad/clust_80_outfiles/clust_80_stats.txt
3,3,4,23751,94529,../epi2brad/clust_80_outfiles/clust_80_stats.txt
4,4,5,18434,112963,../epi2brad/clust_80_outfiles/clust_80_stats.txt
5,5,6,10307,123270,../epi2brad/clust_80_outfiles/clust_80_stats.txt
6,6,7,9134,132404,../epi2brad/clust_80_outfiles/clust_80_stats.txt
7,7,8,3197,135601,../epi2brad/clust_80_outfiles/clust_80_stats.txt
8,8,9,3170,138771,../epi2brad/clust_80_outfiles/clust_80_stats.txt
9,9,10,1231,140002,../epi2brad/clust_80_outfiles/clust_80_stats.txt
10,10,11,1007,141009,../epi2brad/clust_80_outfiles/clust_80_stats.txt
11,11,12,853,141862,../epi2brad/clust_80_outfiles/clust_80_stats.txt
0,0,1,0,0,../epi2brad/clust_81_outfiles/clust_81_stats.txt
1,1,2,0,0,../epi2brad/clust_81_outfiles/clust_81_stats.txt
2,2,3,73179,73179,../epi2brad/clust_81_outfiles/clust_81_stats.txt
3,3,4,24318,97497,../epi2brad/clust_81_outfiles/clust_81_stats.txt
4,4,5,18720,116217,../epi2brad/clust_81_outfiles/clust_81_stats.txt
5,5,6,10329,126546,../epi2brad/clust_81_outfiles/clust_81_stats.txt
6,6,7,9260,135806,../epi2brad/clust_81_outfiles/clust_81_stats.txt
7,7,8,3208,139014,../epi2brad/clust_81_outfiles/clust_81_stats.txt
8,8,9,3198,142212,../epi2brad/clust_81_outfiles/clust_81_stats.txt
9,9,10,1230,143442,../epi2brad/clust_81_outfiles/clust_81_stats.txt
10,10,11,1002,144444,../epi2brad/clust_81_outfiles/clust_81_stats.txt
11,11,12,846,145290,../epi2brad/clust_81_outfiles/clust_81_stats.txt
0,0,1,0,0,../epi2brad/clust_82_outfiles/clust_82_stats.txt
1,1,2,0,0,../epi2brad/clust_82_outfiles/clust_82_stats.txt
2,2,3,73156,73156,../epi2brad/clust_82_outfiles/clust_82_stats.txt
3,3,4,24254,97410,../epi2brad/clust_82_outfiles/clust_82_stats.txt
4,4,5,18807,116217,../epi2brad/clust_82_outfiles/clust_82_stats.txt
5,5,6,10298,126515,../epi2brad/clust_82_outfiles/clust_82_stats.txt
6,6,7,9349,135864,../epi2brad/clust_82_outfiles/clust_82_stats.txt
7,7,8,3157,139021,../epi2brad/clust_82_outfiles/clust_82_stats.txt
8,8,9,3205,142226,../epi2brad/clust_82_outfiles/clust_82_stats.txt
9,9,10,1235,143461,../epi2brad/clust_82_outfiles/clust_82_stats.txt
10,10,11,985,144446,../epi2brad/clust_82_outfiles/clust_82_stats.txt
11,11,12,838,145284,../epi2brad/clust_82_outfiles/clust_82_stats.txt
0,0,1,0,0,../epi2brad/clust_83_outfiles/clust_83_stats.txt
1,1,2,0,0,../epi2brad/clust_83_outfiles/clust_83_stats.txt
2,2,3,73267,73267,../epi2brad/clust_83_outfiles/clust_83_stats.txt
3,3,4,24074,97341,../epi2brad/clust_83_outfiles/clust_83_stats.txt
4,4,5,18744,116085,../epi2brad/clust_83_outfiles/clust_83_stats.txt
5,5,6,10371,126456,../epi2brad/clust_83_outfiles/clust_83_stats.txt
6,6,7,9279,135735,../epi2brad/clust_83_outfiles/clust_83_stats.txt
7,7,8,3221,138956,../epi2brad/clust_83_outfiles/clust_83_stats.txt
8,8,9,3166,142122,../epi2brad/clust_83_outfiles/clust_83_stats.txt
9,9,10,1243,143365,../epi2brad/clust_83_outfiles/clust_83_stats.txt
10,10,11,993,144358,../epi2brad/clust_83_outfiles/clust_83_stats.txt
11,11,12,855,145213,../epi2brad/clust_83_outfiles/clust_83_stats.txt
