,Unnamed: 0,number,variable,sum_var,pis,sum_pis,clust_threshold
0,0,0,47611,0,89665,0,../epi2brad/clust_80_outfiles/clust_80_stats.txt
1,1,1,30763,30763,25142,25142,../epi2brad/clust_80_outfiles/clust_80_stats.txt
2,2,2,22868,76499,13272,51686,../epi2brad/clust_80_outfiles/clust_80_stats.txt
3,3,3,14889,121166,6689,71753,../epi2brad/clust_80_outfiles/clust_80_stats.txt
4,4,4,9274,158262,3428,85465,../epi2brad/clust_80_outfiles/clust_80_stats.txt
5,5,5,6162,189072,1863,94780,../epi2brad/clust_80_outfiles/clust_80_stats.txt
6,6,6,4124,213816,975,100630,../epi2brad/clust_80_outfiles/clust_80_stats.txt
7,7,7,2658,232422,515,104235,../epi2brad/clust_80_outfiles/clust_80_stats.txt
8,8,8,1530,244662,192,105771,../epi2brad/clust_80_outfiles/clust_80_stats.txt
9,9,9,917,252915,81,106500,../epi2brad/clust_80_outfiles/clust_80_stats.txt
10,10,10,532,258235,29,106790,../epi2brad/clust_80_outfiles/clust_80_stats.txt
11,11,11,255,261040,6,106856,../epi2brad/clust_80_outfiles/clust_80_stats.txt
12,12,12,131,262612,4,106904,../epi2brad/clust_80_outfiles/clust_80_stats.txt
13,13,13,88,263756,0,106904,../epi2brad/clust_80_outfiles/clust_80_stats.txt
14,14,14,29,264162,0,106904,../epi2brad/clust_80_outfiles/clust_80_stats.txt
15,15,15,15,264387,1,106919,../epi2brad/clust_80_outfiles/clust_80_stats.txt
16,16,16,9,264531,0,106919,../epi2brad/clust_80_outfiles/clust_80_stats.txt
17,17,17,2,264565,0,106919,../epi2brad/clust_80_outfiles/clust_80_stats.txt
18,18,18,3,264619,0,106919,../epi2brad/clust_80_outfiles/clust_80_stats.txt
19,19,19,1,264638,0,106919,../epi2brad/clust_80_outfiles/clust_80_stats.txt
20,20,20,1,264658,0,106919,../epi2brad/clust_80_outfiles/clust_80_stats.txt
0,0,0,49676,0,92709,0,../epi2brad/clust_81_outfiles/clust_81_stats.txt
1,1,1,32010,32010,25996,25996,../epi2brad/clust_81_outfiles/clust_81_stats.txt
2,2,2,23851,79712,13696,53388,../epi2brad/clust_81_outfiles/clust_81_stats.txt
3,3,3,15662,126698,6737,73599,../epi2brad/clust_81_outfiles/clust_81_stats.txt
4,4,4,9560,164938,3327,86907,../epi2brad/clust_81_outfiles/clust_81_stats.txt
5,5,5,6087,195373,1654,95177,../epi2brad/clust_81_outfiles/clust_81_stats.txt
6,6,6,3834,218377,768,99785,../epi2brad/clust_81_outfiles/clust_81_stats.txt
7,7,7,2030,232587,234,101423,../epi2brad/clust_81_outfiles/clust_81_stats.txt
8,8,8,1219,242339,109,102295,../epi2brad/clust_81_outfiles/clust_81_stats.txt
9,9,9,658,248261,42,102673,../epi2brad/clust_81_outfiles/clust_81_stats.txt
10,10,10,368,251941,10,102773,../epi2brad/clust_81_outfiles/clust_81_stats.txt
11,11,11,171,253822,5,102828,../epi2brad/clust_81_outfiles/clust_81_stats.txt
12,12,12,95,254962,3,102864,../epi2brad/clust_81_outfiles/clust_81_stats.txt
13,13,13,42,255508,0,102864,../epi2brad/clust_81_outfiles/clust_81_stats.txt
14,14,14,14,255704,0,102864,../epi2brad/clust_81_outfiles/clust_81_stats.txt
15,15,15,9,255839,0,102864,../epi2brad/clust_81_outfiles/clust_81_stats.txt
16,16,16,3,255887,0,102864,../epi2brad/clust_81_outfiles/clust_81_stats.txt
17,17,17,1,255904,0,102864,../epi2brad/clust_81_outfiles/clust_81_stats.txt
0,0,0,49849,0,92734,0,../epi2brad/clust_82_outfiles/clust_82_stats.txt
1,1,1,31855,31855,25874,25874,../epi2brad/clust_82_outfiles/clust_82_stats.txt
2,2,2,24025,79905,13707,53288,../epi2brad/clust_82_outfiles/clust_82_stats.txt
3,3,3,15538,126519,6847,73829,../epi2brad/clust_82_outfiles/clust_82_stats.txt
