,Unnamed: 0,sample,state,reads_raw,reads_passed,clust_total,clust_hidepth,hetero_est,error_est,reads_consens,loci_assembly,clust_threshold
0,0,Ahah_R0089a_GTGA,7,899185,899185,208230,149132,0.066952,0.038398,144965,49286,../epi2brad/clust_80_outfiles/clust_80_stats.txt
1,1,Ahah_R0089b_TCAG,7,647552,647552,165398,102530,0.060629,0.038667,99584,44959,../epi2brad/clust_80_outfiles/clust_80_stats.txt
2,2,Ahah_R0090_GCTT,7,573267,573267,154063,90028,0.063173,0.03742,87326,43456,../epi2brad/clust_80_outfiles/clust_80_stats.txt
3,3,Eant_T6857_ACCA,7,580913,580913,161138,106149,0.064219,0.038008,103476,68198,../epi2brad/clust_80_outfiles/clust_80_stats.txt
4,4,Eant_T6859a_AGTG,7,668442,668442,199972,130427,0.071162,0.038615,127347,72897,../epi2brad/clust_80_outfiles/clust_80_stats.txt
5,5,Eant_T6859b_CATC,7,776853,776853,207724,154205,0.063173,0.03742,150689,79961,../epi2brad/clust_80_outfiles/clust_80_stats.txt
6,6,Ebou_R0153_CTAC,7,544642,544642,129377,93423,0.057896,0.038277,91213,42106,../epi2brad/clust_80_outfiles/clust_80_stats.txt
7,7,Ebou_R0156_TGTC,7,554437,554437,136719,97897,0.057896,0.038277,95607,44149,../epi2brad/clust_80_outfiles/clust_80_stats.txt
8,8,Etri_T6836_GTGT,7,619235,619235,165576,117646,0.057896,0.038277,114835,63864,../epi2brad/clust_80_outfiles/clust_80_stats.txt
9,9,Etri_T6842_AGAC,7,506343,506343,137620,94855,0.064219,0.038008,92609,53417,../epi2brad/clust_80_outfiles/clust_80_stats.txt
10,10,Snub_R0158_TCAC,7,504202,504202,141302,93882,0.059397,0.036205,91568,23544,../epi2brad/clust_80_outfiles/clust_80_stats.txt
11,11,Snub_R0159_GACT,7,583024,583024,165922,110274,0.06446,0.03561,107666,27180,../epi2brad/clust_80_outfiles/clust_80_stats.txt
0,0,Ahah_R0089a_GTGA,7,899185,899185,214592,153540,0.059397,0.036205,150023,50322,../epi2brad/clust_81_outfiles/clust_81_stats.txt
1,1,Ahah_R0089b_TCAG,7,647552,647552,170302,105346,0.059397,0.036205,102763,46119,../epi2brad/clust_81_outfiles/clust_81_stats.txt
2,2,Ahah_R0090_GCTT,7,573267,573267,158575,92218,0.061934,0.035433,89881,44692,../epi2brad/clust_81_outfiles/clust_81_stats.txt
3,3,Eant_T6857_ACCA,7,580913,580913,165237,108800,0.056871,0.036027,106600,69845,../epi2brad/clust_81_outfiles/clust_81_stats.txt
4,4,Eant_T6859a_AGTG,7,668442,668442,204816,133237,0.062338,0.036807,130713,74415,../epi2brad/clust_81_outfiles/clust_81_stats.txt
5,5,Eant_T6859b_CATC,7,776853,776853,212821,157791,0.060453,0.035962,154925,81838,../epi2brad/clust_81_outfiles/clust_81_stats.txt
6,6,Ebou_R0153_CTAC,7,544642,544642,132742,95738,0.053282,0.036686,93894,42687,../epi2brad/clust_81_outfiles/clust_81_stats.txt
7,7,Ebou_R0156_TGTC,7,554437,554437,140187,100300,0.053282,0.036686,98352,44835,../epi2brad/clust_81_outfiles/clust_81_stats.txt
8,8,Etri_T6836_GTGT,7,619235,619235,169774,120444,0.056871,0.036027,118137,65294,../epi2brad/clust_81_outfiles/clust_81_stats.txt
9,9,Etri_T6842_AGAC,7,506343,506343,141189,97152,0.055807,0.036864,95319,54534,../epi2brad/clust_81_outfiles/clust_81_stats.txt
10,10,Snub_R0158_TCAC,7,504202,504202,144723,96143,0.063609,0.033927,94197,23504,../epi2brad/clust_81_outfiles/clust_81_stats.txt
11,11,Snub_R0159_GACT,7,583024,583024,169836,112829,0.056636,0.034912,110629,27038,../epi2brad/clust_81_outfiles/clust_81_stats.txt
