,Unnamed: 0,number,variable,sum_var,pis,sum_pis,clust_threshold
0,0,0,63,0,897,0,../epiddrad/clust_80_outfiles/clust_80_stats.txt
1,1,1,149,149,789,789,../epiddrad/clust_80_outfiles/clust_80_stats.txt
2,2,2,198,545,795,2379,../epiddrad/clust_80_outfiles/clust_80_stats.txt
3,3,3,248,1289,756,4647,../epiddrad/clust_80_outfiles/clust_80_stats.txt
4,4,4,336,2633,815,7907,../epiddrad/clust_80_outfiles/clust_80_stats.txt
5,5,5,378,4523,871,12262,../epiddrad/clust_80_outfiles/clust_80_stats.txt
6,6,6,482,7415,883,17560,../epiddrad/clust_80_outfiles/clust_80_stats.txt
7,7,7,557,11314,914,23958,../epiddrad/clust_80_outfiles/clust_80_stats.txt
8,8,8,610,16194,986,31846,../epiddrad/clust_80_outfiles/clust_80_stats.txt
9,9,9,698,22476,985,40711,../epiddrad/clust_80_outfiles/clust_80_stats.txt
10,10,10,781,30286,912,49831,../epiddrad/clust_80_outfiles/clust_80_stats.txt
11,11,11,761,38657,827,58928,../epiddrad/clust_80_outfiles/clust_80_stats.txt
12,12,12,893,49373,865,69308,../epiddrad/clust_80_outfiles/clust_80_stats.txt
13,13,13,870,60683,857,80449,../epiddrad/clust_80_outfiles/clust_80_stats.txt
14,14,14,840,72443,715,90459,../epiddrad/clust_80_outfiles/clust_80_stats.txt
15,15,15,894,85853,645,100134,../epiddrad/clust_80_outfiles/clust_80_stats.txt
16,16,16,832,99165,605,109814,../epiddrad/clust_80_outfiles/clust_80_stats.txt
17,17,17,849,113598,542,119028,../epiddrad/clust_80_outfiles/clust_80_stats.txt
18,18,18,757,127224,456,127236,../epiddrad/clust_80_outfiles/clust_80_stats.txt
19,19,19,750,141474,429,135387,../epiddrad/clust_80_outfiles/clust_80_stats.txt
20,20,20,679,155054,342,142227,../epiddrad/clust_80_outfiles/clust_80_stats.txt
21,21,21,636,168410,295,148422,../epiddrad/clust_80_outfiles/clust_80_stats.txt
22,22,22,570,180950,258,154098,../epiddrad/clust_80_outfiles/clust_80_stats.txt
23,23,23,513,192749,215,159043,../epiddrad/clust_80_outfiles/clust_80_stats.txt
24,24,24,493,204581,199,163819,../epiddrad/clust_80_outfiles/clust_80_stats.txt
25,25,25,457,216006,168,168019,../epiddrad/clust_80_outfiles/clust_80_stats.txt
26,26,26,387,226068,122,171191,../epiddrad/clust_80_outfiles/clust_80_stats.txt
27,27,27,345,235383,125,174566,../epiddrad/clust_80_outfiles/clust_80_stats.txt
28,28,28,298,243727,93,177170,../epiddrad/clust_80_outfiles/clust_80_stats.txt
29,29,29,257,251180,90,179780,../epiddrad/clust_80_outfiles/clust_80_stats.txt
30,30,30,245,258530,63,181670,../epiddrad/clust_80_outfiles/clust_80_stats.txt
31,31,31,182,264172,45,183065,../epiddrad/clust_80_outfiles/clust_80_stats.txt
32,32,32,170,269612,37,184249,../epiddrad/clust_80_outfiles/clust_80_stats.txt
33,33,33,139,274199,26,185107,../epiddrad/clust_80_outfiles/clust_80_stats.txt
34,34,34,96,277463,24,185923,../epiddrad/clust_80_outfiles/clust_80_stats.txt
35,35,35,84,280403,12,186343,../epiddrad/clust_80_outfiles/clust_80_stats.txt
36,36,36,88,283571,10,186703,../epiddrad/clust_80_outfiles/clust_80_stats.txt
37,37,37,40,285051,11,187110,../epiddrad/clust_80_outfiles/clust_80_stats.txt
38,38,38,34,286343,3,187224,../epiddrad/clust_80_outfiles/clust_80_stats.txt
39,39,39,14,286889,0,187224,../epiddrad/clust_80_outfiles/clust_80_stats.txt
40,40,40,10,287289,1,187264,../epiddrad/clust_80_outfiles/clust_80_stats.txt
0,0,0,66,0,931,0,../epiddrad/clust_81_outfiles/clust_81_stats.txt
1,1,1,156,156,830,830,../epiddrad/clust_81_outfiles/clust_81_stats.txt
2,2,2,197,550,829,2488,../epiddrad/clust_81_outfiles/clust_81_stats.txt
3,3,3,255,1315,802,4894,../epiddrad/clust_81_outfiles/clust_81_stats.txt
4,4,4,343,2687,846,8278,../epiddrad/clust_81_outfiles/clust_81_stats.txt
5,5,5,397,4672,899,12773,../epiddrad/clust_81_outfiles/clust_81_stats.txt
6,6,6,496,7648,923,18311,../epiddrad/clust_81_outfiles/clust_81_stats.txt
7,7,7,588,11764,959,25024,../epiddrad/clust_81_outfiles/clust_81_stats.txt
8,8,8,627,16780,1014,33136,../epiddrad/clust_81_outfiles/clust_81_stats.txt
9,9,9,717,23233,1005,42181,../epiddrad/clust_81_outfiles/clust_81_stats.txt
10,10,10,807,31303,957,51751,../epiddrad/clust_81_outfiles/clust_81_stats.txt
11,11,11,808,40191,866,61277,../epiddrad/clust_81_outfiles/clust_81_stats.txt
12,12,12,934,51399,908,72173,../epiddrad/clust_81_outfiles/clust_81_stats.txt
13,13,13,919,63346,889,83730,../epiddrad/clust_81_outfiles/clust_81_stats.txt
14,14,14,875,75596,745,94160,../epiddrad/clust_81_outfiles/clust_81_stats.txt
15,15,15,929,89531,659,104045,../epiddrad/clust_81_outfiles/clust_81_stats.txt
16,16,16,857,103243,619,113949,../epiddrad/clust_81_outfiles/clust_81_stats.txt
17,17,17,879,118186,568,123605,../epiddrad/clust_81_outfiles/clust_81_stats.txt
18,18,18,794,132478,473,132119,../epiddrad/clust_81_outfiles/clust_81_stats.txt
19,19,19,791,147507,447,140612,../epiddrad/clust_81_outfiles/clust_81_stats.txt
20,20,20,702,161547,354,147692,../epiddrad/clust_81_outfiles/clust_81_stats.txt
21,21,21,649,175176,302,154034,../epiddrad/clust_81_outfiles/clust_81_stats.txt
22,22,22,593,188222,272,160018,../epiddrad/clust_81_outfiles/clust_81_stats.txt
23,23,23,538,200596,220,165078,../epiddrad/clust_81_outfiles/clust_81_stats.txt
24,24,24,523,213148,204,169974,../epiddrad/clust_81_outfiles/clust_81_stats.txt
25,25,25,469,224873,170,174224,../epiddrad/clust_81_outfiles/clust_81_stats.txt
26,26,26,407,235455,131,177630,../epiddrad/clust_81_outfiles/clust_81_stats.txt
27,27,27,360,245175,132,181194,../epiddrad/clust_81_outfiles/clust_81_stats.txt
28,28,28,300,253575,95,183854,../epiddrad/clust_81_outfiles/clust_81_stats.txt
29,29,29,266,261289,89,186435,../epiddrad/clust_81_outfiles/clust_81_stats.txt
30,30,30,255,268939,67,188445,../epiddrad/clust_81_outfiles/clust_81_stats.txt
31,31,31,188,274767,48,189933,../epiddrad/clust_81_outfiles/clust_81_stats.txt
32,32,32,181,280559,37,191117,../epiddrad/clust_81_outfiles/clust_81_stats.txt
33,33,33,142,285245,30,192107,../epiddrad/clust_81_outfiles/clust_81_stats.txt
34,34,34,98,288577,27,193025,../epiddrad/clust_81_outfiles/clust_81_stats.txt
35,35,35,86,291587,14,193515,../epiddrad/clust_81_outfiles/clust_81_stats.txt
36,36,36,87,294719,11,193911,../epiddrad/clust_81_outfiles/clust_81_stats.txt
37,37,37,42,296273,9,194244,../epiddrad/clust_81_outfiles/clust_81_stats.txt
38,38,38,39,297755,5,194434,../epiddrad/clust_81_outfiles/clust_81_stats.txt
39,39,39,18,298457,0,194434,../epiddrad/clust_81_outfiles/clust_81_stats.txt
40,40,40,9,298817,1,194474,../epiddrad/clust_81_outfiles/clust_81_stats.txt
0,0,0,66,0,956,0,../epiddrad/clust_82_outfiles/clust_82_stats.txt
1,1,1,163,163,860,860,../epiddrad/clust_82_outfiles/clust_82_stats.txt
2,2,2,207,577,852,2564,../epiddrad/clust_82_outfiles/clust_82_stats.txt
3,3,3,259,1354,821,5027,../epiddrad/clust_82_outfiles/clust_82_stats.txt
4,4,4,362,2802,870,8507,../epiddrad/clust_82_outfiles/clust_82_stats.txt
5,5,5,421,4907,939,13202,../epiddrad/clust_82_outfiles/clust_82_stats.txt
6,6,6,504,7931,945,18872,../epiddrad/clust_82_outfiles/clust_82_stats.txt
7,7,7,604,12159,993,25823,../epiddrad/clust_82_outfiles/clust_82_stats.txt
8,8,8,647,17335,1029,34055,../epiddrad/clust_82_outfiles/clust_82_stats.txt
9,9,9,744,24031,1054,43541,../epiddrad/clust_82_outfiles/clust_82_stats.txt
10,10,10,829,32321,976,53301,../epiddrad/clust_82_outfiles/clust_82_stats.txt
11,11,11,833,41484,898,63179,../epiddrad/clust_82_outfiles/clust_82_stats.txt
12,12,12,953,52920,943,74495,../epiddrad/clust_82_outfiles/clust_82_stats.txt
13,13,13,949,65257,903,86234,../epiddrad/clust_82_outfiles/clust_82_stats.txt
14,14,14,898,77829,772,97042,../epiddrad/clust_82_outfiles/clust_82_stats.txt
15,15,15,953,92124,691,107407,../epiddrad/clust_82_outfiles/clust_82_stats.txt
16,16,16,893,106412,641,117663,../epiddrad/clust_82_outfiles/clust_82_stats.txt
17,17,17,907,121831,598,127829,../epiddrad/clust_82_outfiles/clust_82_stats.txt
18,18,18,812,136447,489,136631,../epiddrad/clust_82_outfiles/clust_82_stats.txt
19,19,19,820,152027,459,145352,../epiddrad/clust_82_outfiles/clust_82_stats.txt
20,20,20,724,166507,370,152752,../epiddrad/clust_82_outfiles/clust_82_stats.txt
21,21,21,680,180787,317,159409,../epiddrad/clust_82_outfiles/clust_82_stats.txt
22,22,22,607,194141,282,165613,../epiddrad/clust_82_outfiles/clust_82_stats.txt
23,23,23,556,206929,227,170834,../epiddrad/clust_82_outfiles/clust_82_stats.txt
24,24,24,543,219961,218,176066,../epiddrad/clust_82_outfiles/clust_82_stats.txt
25,25,25,492,232261,189,180791,../epiddrad/clust_82_outfiles/clust_82_stats.txt
26,26,26,420,243181,135,184301,../epiddrad/clust_82_outfiles/clust_82_stats.txt
27,27,27,373,253252,133,187892,../epiddrad/clust_82_outfiles/clust_82_stats.txt
28,28,28,315,262072,100,190692,../epiddrad/clust_82_outfiles/clust_82_stats.txt
29,29,29,268,269844,94,193418,../epiddrad/clust_82_outfiles/clust_82_stats.txt
30,30,30,268,277884,72,195578,../epiddrad/clust_82_outfiles/clust_82_stats.txt
31,31,31,204,284208,49,197097,../epiddrad/clust_82_outfiles/clust_82_stats.txt
32,32,32,185,290128,35,198217,../epiddrad/clust_82_outfiles/clust_82_stats.txt
33,33,33,152,295144,29,199174,../epiddrad/clust_82_outfiles/clust_82_stats.txt
34,34,34,99,298510,22,199922,../epiddrad/clust_82_outfiles/clust_82_stats.txt
35,35,35,93,301765,13,200377,../epiddrad/clust_82_outfiles/clust_82_stats.txt
36,36,36,89,304969,11,200773,../epiddrad/clust_82_outfiles/clust_82_stats.txt
37,37,37,45,306634,8,201069,../epiddrad/clust_82_outfiles/clust_82_stats.txt
38,38,38,31,307812,3,201183,../epiddrad/clust_82_outfiles/clust_82_stats.txt
39,39,39,18,308514,0,201183,../epiddrad/clust_82_outfiles/clust_82_stats.txt
40,40,40,12,308994,2,201263,../epiddrad/clust_82_outfiles/clust_82_stats.txt
0,0,0,67,0,998,0,../epiddrad/clust_83_outfiles/clust_83_stats.txt
1,1,1,169,169,889,889,../epiddrad/clust_83_outfiles/clust_83_stats.txt
2,2,2,213,595,870,2629,../epiddrad/clust_83_outfiles/clust_83_stats.txt
3,3,3,269,1402,845,5164,../epiddrad/clust_83_outfiles/clust_83_stats.txt
4,4,4,365,2862,887,8712,../epiddrad/clust_83_outfiles/clust_83_stats.txt
5,5,5,438,5052,962,13522,../epiddrad/clust_83_outfiles/clust_83_stats.txt
6,6,6,512,8124,976,19378,../epiddrad/clust_83_outfiles/clust_83_stats.txt
7,7,7,619,12457,1012,26462,../epiddrad/clust_83_outfiles/clust_83_stats.txt
8,8,8,671,17825,1058,34926,../epiddrad/clust_83_outfiles/clust_83_stats.txt
9,9,9,766,24719,1097,44799,../epiddrad/clust_83_outfiles/clust_83_stats.txt
10,10,10,854,33259,1005,54849,../epiddrad/clust_83_outfiles/clust_83_stats.txt
11,11,11,853,42642,927,65046,../epiddrad/clust_83_outfiles/clust_83_stats.txt
12,12,12,985,54462,973,76722,../epiddrad/clust_83_outfiles/clust_83_stats.txt
13,13,13,980,67202,936,88890,../epiddrad/clust_83_outfiles/clust_83_stats.txt
14,14,14,922,80110,786,99894,../epiddrad/clust_83_outfiles/clust_83_stats.txt
15,15,15,973,94705,723,110739,../epiddrad/clust_83_outfiles/clust_83_stats.txt
16,16,16,930,109585,672,121491,../epiddrad/clust_83_outfiles/clust_83_stats.txt
17,17,17,937,125514,613,131912,../epiddrad/clust_83_outfiles/clust_83_stats.txt
18,18,18,838,140598,493,140786,../epiddrad/clust_83_outfiles/clust_83_stats.txt
19,19,19,836,156482,474,149792,../epiddrad/clust_83_outfiles/clust_83_stats.txt
20,20,20,760,171682,385,157492,../epiddrad/clust_83_outfiles/clust_83_stats.txt
21,21,21,701,186403,329,164401,../epiddrad/clust_83_outfiles/clust_83_stats.txt
22,22,22,628,200219,289,170759,../epiddrad/clust_83_outfiles/clust_83_stats.txt
23,23,23,578,213513,244,176371,../epiddrad/clust_83_outfiles/clust_83_stats.txt
24,24,24,564,227049,227,181819,../epiddrad/clust_83_outfiles/clust_83_stats.txt
25,25,25,520,240049,188,186519,../epiddrad/clust_83_outfiles/clust_83_stats.txt
