,Unnamed: 0,sample,state,reads_raw,reads_passed,clust_total,clust_hidepth,hetero_est,error_est,reads_consens,loci_assembly,clust_threshold
0,0,Ahah_R0089a,7,7869047,7827474,915761,155785,0.023925,0.005357,122985,521,../epiddrad/clust_80_outfiles/clust_80_stats.txt
1,1,Ahah_R0089b,7,7381407,7342302,942885,155041,0.024335,0.005432,122427,504,../epiddrad/clust_80_outfiles/clust_80_stats.txt
2,2,Ahah_R0090,7,7112002,7074480,827120,145818,0.02325,0.005333,116268,526,../epiddrad/clust_80_outfiles/clust_80_stats.txt
3,3,Eant_T6857,7,7769532,7731347,877474,147325,0.021867,0.00461,120251,14035,../epiddrad/clust_80_outfiles/clust_80_stats.txt
4,4,Eant_T6859a,7,7208562,7173683,848728,141548,0.021579,0.004531,116319,14749,../epiddrad/clust_80_outfiles/clust_80_stats.txt
5,5,Eant_T6859b,7,6156931,6126704,684368,123825,0.02025,0.004573,103172,14566,../epiddrad/clust_80_outfiles/clust_80_stats.txt
6,6,Ebou_R0153,7,6398901,6370393,609649,120498,0.020396,0.004761,99894,8363,../epiddrad/clust_80_outfiles/clust_80_stats.txt
7,7,Ebou_R0156,7,4954025,4932452,491038,104016,0.018853,0.004788,87536,8087,../epiddrad/clust_80_outfiles/clust_80_stats.txt
8,8,Etri_T6836,7,8212760,8176976,897945,148411,0.021629,0.004466,121228,13824,../epiddrad/clust_80_outfiles/clust_80_stats.txt
9,9,Etri_T6842,7,7063949,7033092,772173,137052,0.020469,0.004668,113005,13721,../epiddrad/clust_80_outfiles/clust_80_stats.txt
10,10,Snub_R0158,7,6485058,6452447,710772,123486,0.020746,0.00432,101295,1908,../epiddrad/clust_80_outfiles/clust_80_stats.txt
11,11,Snub_R0159,7,4068699,4049115,442411,85393,0.018363,0.004472,72025,1796,../epiddrad/clust_80_outfiles/clust_80_stats.txt
0,0,Ahah_R0089a,7,7869047,7827474,947678,159039,0.022867,0.005248,126511,522,../epiddrad/clust_81_outfiles/clust_81_stats.txt
1,1,Ahah_R0089b,7,7381407,7342302,975289,158244,0.022844,0.005352,125801,506,../epiddrad/clust_81_outfiles/clust_81_stats.txt
2,2,Ahah_R0090,7,7112002,7074480,854448,148705,0.021518,0.005191,119592,529,../epiddrad/clust_81_outfiles/clust_81_stats.txt
3,3,Eant_T6857,7,7769532,7731347,906815,150066,0.020594,0.004483,123329,14616,../epiddrad/clust_81_outfiles/clust_81_stats.txt
4,4,Eant_T6859a,7,7208562,7173683,876053,144183,0.020571,0.004462,119238,15356,../epiddrad/clust_81_outfiles/clust_81_stats.txt
5,5,Eant_T6859b,7,6156931,6126704,705482,126143,0.019244,0.004552,105714,15171,../epiddrad/clust_81_outfiles/clust_81_stats.txt
6,6,Ebou_R0153,7,6398901,6370393,631060,123083,0.019297,0.004711,102572,8641,../epiddrad/clust_81_outfiles/clust_81_stats.txt
7,7,Ebou_R0156,7,4954025,4932452,507216,106133,0.017902,0.004745,89696,8372,../epiddrad/clust_81_outfiles/clust_81_stats.txt
8,8,Etri_T6836,7,8212760,8176976,927718,151196,0.020243,0.004428,124434,14365,../epiddrad/clust_81_outfiles/clust_81_stats.txt
9,9,Etri_T6842,7,7063949,7033092,797067,139693,0.019365,0.004564,115984,14228,../epiddrad/clust_81_outfiles/clust_81_stats.txt
10,10,Snub_R0158,7,6485058,6452447,733593,125862,0.019681,0.004215,103776,1945,../epiddrad/clust_81_outfiles/clust_81_stats.txt
11,11,Snub_R0159,7,4068699,4049115,455653,86921,0.01746,0.004363,73613,1819,../epiddrad/clust_81_outfiles/clust_81_stats.txt
0,0,Ahah_R0089a,7,7869047,7827474,976486,162016,0.021948,0.005148,129776,521,../epiddrad/clust_82_outfiles/clust_82_stats.txt
1,1,Ahah_R0089b,7,7381407,7342302,1004457,161307,0.021565,0.005259,129001,509,../epiddrad/clust_82_outfiles/clust_82_stats.txt
2,2,Ahah_R0090,7,7112002,7074480,879047,151501,0.020361,0.005114,122711,536,../epiddrad/clust_82_outfiles/clust_82_stats.txt
3,3,Eant_T6857,7,7769532,7731347,933180,152687,0.019614,0.004424,126234,15094,../epiddrad/clust_82_outfiles/clust_82_stats.txt
4,4,Eant_T6859a,7,7208562,7173683,900607,146455,0.019213,0.0044,122113,15878,../epiddrad/clust_82_outfiles/clust_82_stats.txt
5,5,Eant_T6859b,7,6156931,6126704,724669,128337,0.018356,0.004493,108116,15680,../epiddrad/clust_82_outfiles/clust_82_stats.txt
6,6,Ebou_R0153,7,6398901,6370393,650287,125510,0.018348,0.004618,105123,8892,../epiddrad/clust_82_outfiles/clust_82_stats.txt
7,7,Ebou_R0156,7,4954025,4932452,522191,108177,0.01706,0.004645,91937,8608,../epiddrad/clust_82_outfiles/clust_82_stats.txt
8,8,Etri_T6836,7,8212760,8176976,954789,153693,0.018977,0.004294,127365,14853,../epiddrad/clust_82_outfiles/clust_82_stats.txt
9,9,Etri_T6842,7,7063949,7033092,819464,141888,0.018243,0.004481,118488,14708,../epiddrad/clust_82_outfiles/clust_82_stats.txt
10,10,Snub_R0158,7,6485058,6452447,754542,127817,0.018649,0.004125,106021,1993,../epiddrad/clust_82_outfiles/clust_82_stats.txt
11,11,Snub_R0159,7,4068699,4049115,468098,88406,0.016599,0.004325,75092,1870,../epiddrad/clust_82_outfiles/clust_82_stats.txt
0,0,Ahah_R0089a,7,7869047,7827474,1007122,165183,0.02042,0.005051,133495,517,../epiddrad/clust_83_outfiles/clust_83_stats.txt
1,1,Ahah_R0089b,7,7381407,7342302,1034710,164104,0.020011,0.00517,132532,502,../epiddrad/clust_83_outfiles/clust_83_stats.txt
2,2,Ahah_R0090,7,7112002,7074480,905069,154265,0.019225,0.005027,125952,528,../epiddrad/clust_83_outfiles/clust_83_stats.txt
3,3,Eant_T6857,7,7769532,7731347,961271,155298,0.018379,0.004349,129344,15577,../epiddrad/clust_83_outfiles/clust_83_stats.txt
4,4,Eant_T6859a,7,7208562,7173683,926606,149065,0.018104,0.004363,125026,16375,../epiddrad/clust_83_outfiles/clust_83_stats.txt
5,5,Eant_T6859b,7,6156931,6126704,745381,130573,0.017244,0.004429,110727,16184,../epiddrad/clust_83_outfiles/clust_83_stats.txt
6,6,Ebou_R0153,7,6398901,6370393,671167,128118,0.017498,0.004566,107745,9162,../epiddrad/clust_83_outfiles/clust_83_stats.txt
7,7,Ebou_R0156,7,4954025,4932452,538222,110366,0.016156,0.004625,94159,8877,../epiddrad/clust_83_outfiles/clust_83_stats.txt
8,8,Etri_T6836,7,8212760,8176976,983317,156050,0.01769,0.004265,130420,15277,../epiddrad/clust_83_outfiles/clust_83_stats.txt
9,9,Etri_T6842,7,7063949,7033092,843312,144325,0.017139,0.004402,121338,15140,../epiddrad/clust_83_outfiles/clust_83_stats.txt
10,10,Snub_R0158,7,6485058,6452447,777527,129896,0.017622,0.004066,108437,2005,../epiddrad/clust_83_outfiles/clust_83_stats.txt
11,11,Snub_R0159,7,4068699,4049115,481683,89888,0.015736,0.004242,76751,1887,../epiddrad/clust_83_outfiles/clust_83_stats.txt
0,0,Ahah_R0089a,7,7869047,7827474,1035422,168163,0.01899,0.004994,137118,524,../epiddrad/clust_84_outfiles/clust_84_stats.txt
1,1,Ahah_R0089b,7,7381407,7342302,1063197,166923,0.018809,0.00507,136056,509,../epiddrad/clust_84_outfiles/clust_84_stats.txt
2,2,Ahah_R0090,7,7112002,7074480,929975,156864,0.017996,0.004947,129174,535,../epiddrad/clust_84_outfiles/clust_84_stats.txt
3,3,Eant_T6857,7,7769532,7731347,988413,157708,0.017033,0.004277,132477,16162,../epiddrad/clust_84_outfiles/clust_84_stats.txt
4,4,Eant_T6859a,7,7208562,7173683,951225,151226,0.016848,0.004269,127898,16978,../epiddrad/clust_84_outfiles/clust_84_stats.txt
5,5,Eant_T6859b,7,6156931,6126704,765318,132695,0.016289,0.004368,113192,16768,../epiddrad/clust_84_outfiles/clust_84_stats.txt
6,6,Ebou_R0153,7,6398901,6370393,691117,130474,0.016517,0.004513,110370,9462,../epiddrad/clust_84_outfiles/clust_84_stats.txt
7,7,Ebou_R0156,7,4954025,4932452,553712,112303,0.015319,0.004547,96373,9162,../epiddrad/clust_84_outfiles/clust_84_stats.txt
8,8,Etri_T6836,7,8212760,8176976,1010421,158396,0.016606,0.004202,133358,15890,../epiddrad/clust_84_outfiles/clust_84_stats.txt
9,9,Etri_T6842,7,7063949,7033092,865979,146470,0.015958,0.004348,124036,15692,../epiddrad/clust_84_outfiles/clust_84_stats.txt
10,10,Snub_R0158,7,6485058,6452447,799646,131978,0.016461,0.004008,110918,2057,../epiddrad/clust_84_outfiles/clust_84_stats.txt
11,11,Snub_R0159,7,4068699,4049115,494330,91232,0.014852,0.004194,78382,1939,../epiddrad/clust_84_outfiles/clust_84_stats.txt
0,0,Ahah_R0089a,7,7869047,7827474,1064617,171267,0.017892,0.004857,140840,520,../epiddrad/clust_85_outfiles/clust_85_stats.txt
1,1,Ahah_R0089b,7,7381407,7342302,1092145,169890,0.017524,0.004973,139777,512,../epiddrad/clust_85_outfiles/clust_85_stats.txt
2,2,Ahah_R0090,7,7112002,7074480,955175,159721,0.016835,0.004842,132605,537,../epiddrad/clust_85_outfiles/clust_85_stats.txt
3,3,Eant_T6857,7,7769532,7731347,1016132,160136,0.016056,0.00422,135545,16701,../epiddrad/clust_85_outfiles/clust_85_stats.txt
