,Unnamed: 0,number,locus_coverage,sum_coverage,clust_threshold
0,0,1,0,0,../rana2brad/clust_80_outfiles/clust_80_stats.txt
1,1,2,0,0,../rana2brad/clust_80_outfiles/clust_80_stats.txt
2,2,3,60596,60596,../rana2brad/clust_80_outfiles/clust_80_stats.txt
3,3,4,36508,97104,../rana2brad/clust_80_outfiles/clust_80_stats.txt
4,4,5,31035,128139,../rana2brad/clust_80_outfiles/clust_80_stats.txt
5,5,6,20798,148937,../rana2brad/clust_80_outfiles/clust_80_stats.txt
6,6,7,18234,167171,../rana2brad/clust_80_outfiles/clust_80_stats.txt
7,7,8,12803,179974,../rana2brad/clust_80_outfiles/clust_80_stats.txt
8,8,9,10134,190108,../rana2brad/clust_80_outfiles/clust_80_stats.txt
9,9,10,5713,195821,../rana2brad/clust_80_outfiles/clust_80_stats.txt
10,10,11,3491,199312,../rana2brad/clust_80_outfiles/clust_80_stats.txt
11,11,12,2186,201498,../rana2brad/clust_80_outfiles/clust_80_stats.txt
0,0,1,0,0,../rana2brad/clust_81_outfiles/clust_81_stats.txt
1,1,2,0,0,../rana2brad/clust_81_outfiles/clust_81_stats.txt
2,2,3,62998,62998,../rana2brad/clust_81_outfiles/clust_81_stats.txt
3,3,4,37808,100806,../rana2brad/clust_81_outfiles/clust_81_stats.txt
4,4,5,32120,132926,../rana2brad/clust_81_outfiles/clust_81_stats.txt
5,5,6,21568,154494,../rana2brad/clust_81_outfiles/clust_81_stats.txt
6,6,7,18925,173419,../rana2brad/clust_81_outfiles/clust_81_stats.txt
7,7,8,13269,186688,../rana2brad/clust_81_outfiles/clust_81_stats.txt
8,8,9,10574,197262,../rana2brad/clust_81_outfiles/clust_81_stats.txt
9,9,10,5841,203103,../rana2brad/clust_81_outfiles/clust_81_stats.txt
10,10,11,3632,206735,../rana2brad/clust_81_outfiles/clust_81_stats.txt
11,11,12,2203,208938,../rana2brad/clust_81_outfiles/clust_81_stats.txt
0,0,1,0,0,../rana2brad/clust_84_outfiles/clust_84_stats.txt
1,1,2,0,0,../rana2brad/clust_84_outfiles/clust_84_stats.txt
