DataSetName	CharacterType	Method	Taxon	Sampling	EdgeName	StateChange	QualityScore	n
epi_2brad_total	dollo	2b	epi	total	11 --> EantT6857	0 <=> 1	NS	0
epi_2brad_total	dollo	2b	epi	total	11 --> EantT6857	0 <=> 1	Sign	0
epi_2brad_total	dollo	2b	epi	total	11 --> EantT6859a	0 <=> 1	NS	0
epi_2brad_total	dollo	2b	epi	total	11 --> EantT6859a	0 <=> 1	Sign	0
epi_2brad_total	dollo	2b	epi	total	12 --> EtriT6836	0 <=> 1	NS	0
epi_2brad_total	dollo	2b	epi	total	12 --> EtriT6836	0 <=> 1	Sign	0
epi_2brad_total	dollo	2b	epi	total	12 --> EtriT6842	0 <=> 1	NS	0
epi_2brad_total	dollo	2b	epi	total	12 --> EtriT6842	0 <=> 1	Sign	0
epi_2brad_total	dollo	2b	epi	total	13 --> 11	0 <=> 1	NS	0
epi_2brad_total	dollo	2b	epi	total	13 --> 11	0 <=> 1	Sign	0
epi_2brad_total	dollo	2b	epi	total	13 --> 12	0 <=> 1	NS	0
epi_2brad_total	dollo	2b	epi	total	13 --> 12	0 <=> 1	Sign	0
epi_2brad_total	dollo	2b	epi	total	14 --> EbouR0153	0 <=> 1	NS	0
epi_2brad_total	dollo	2b	epi	total	14 --> EbouR0153	0 <=> 1	Sign	0
epi_2brad_total	dollo	2b	epi	total	14 --> EbouR0156	0 <=> 1	NS	0
epi_2brad_total	dollo	2b	epi	total	14 --> EbouR0156	0 <=> 1	Sign	0
epi_2brad_total	dollo	2b	epi	total	15 --> 13	0 <=> 1	NS	0
epi_2brad_total	dollo	2b	epi	total	15 --> 13	0 <=> 1	Sign	0
epi_2brad_total	dollo	2b	epi	total	15 --> 14	0 <=> 1	NS	0
epi_2brad_total	dollo	2b	epi	total	15 --> 14	0 <=> 1	Sign	0
epi_2brad_total	dollo	2b	epi	total	16 --> SnubR0158	0 <=> 1	NS	0
epi_2brad_total	dollo	2b	epi	total	16 --> SnubR0158	0 <=> 1	Sign	0
epi_2brad_total	dollo	2b	epi	total	16 --> SnubR0159	0 <=> 1	NS	0
epi_2brad_total	dollo	2b	epi	total	16 --> SnubR0159	0 <=> 1	Sign	0
epi_2brad_total	dollo	2b	epi	total	17 --> 15	0 <=> 1	NS	0
epi_2brad_total	dollo	2b	epi	total	17 --> 15	0 <=> 1	Sign	0
epi_2brad_total	dollo	2b	epi	total	17 --> 16	0 <=> 1	NS	0
epi_2brad_total	dollo	2b	epi	total	17 --> 16	0 <=> 1	Sign	0
epi_2brad_total	dollo	2b	epi	total	17 --> 18	0 <=> 1	NS	0
epi_2brad_total	dollo	2b	epi	total	17 --> 18	0 <=> 1	Sign	2029
epi_2brad_total	dollo	2b	epi	total	18 --> AhahR0089a	0 <=> 1	NS	0
epi_2brad_total	dollo	2b	epi	total	18 --> AhahR0089a	0 <=> 1	Sign	0
epi_2brad_total	dollo	2b	epi	total	18 --> AhahR0090	0 <=> 1	NS	0
epi_2brad_total	dollo	2b	epi	total	18 --> AhahR0090	0 <=> 1	Sign	0
epi_2brad_total	dollo	2b	epi	total	11 --> EantT6857	0 ==> 1	NS	1
epi_2brad_total	dollo	2b	epi	total	11 --> EantT6857	0 ==> 1	Sign	0
epi_2brad_total	dollo	2b	epi	total	11 --> EantT6859a	0 ==> 1	NS	1
epi_2brad_total	dollo	2b	epi	total	11 --> EantT6859a	0 ==> 1	Sign	0
epi_2brad_total	dollo	2b	epi	total	12 --> EtriT6836	0 ==> 1	NS	0
epi_2brad_total	dollo	2b	epi	total	12 --> EtriT6836	0 ==> 1	Sign	0
epi_2brad_total	dollo	2b	epi	total	12 --> EtriT6842	0 ==> 1	NS	0
epi_2brad_total	dollo	2b	epi	total	12 --> EtriT6842	0 ==> 1	Sign	0
epi_2brad_total	dollo	2b	epi	total	13 --> 11	0 ==> 1	NS	0
epi_2brad_total	dollo	2b	epi	total	13 --> 11	0 ==> 1	Sign	743
epi_2brad_total	dollo	2b	epi	total	13 --> 12	0 ==> 1	NS	0
epi_2brad_total	dollo	2b	epi	total	13 --> 12	0 ==> 1	Sign	371
epi_2brad_total	dollo	2b	epi	total	14 --> EbouR0153	0 ==> 1	NS	0
epi_2brad_total	dollo	2b	epi	total	14 --> EbouR0153	0 ==> 1	Sign	0
epi_2brad_total	dollo	2b	epi	total	14 --> EbouR0156	0 ==> 1	NS	0
epi_2brad_total	dollo	2b	epi	total	14 --> EbouR0156	0 ==> 1	Sign	0
epi_2brad_total	dollo	2b	epi	total	15 --> 13	0 ==> 1	NS	0
epi_2brad_total	dollo	2b	epi	total	15 --> 13	0 ==> 1	Sign	13621
epi_2brad_total	dollo	2b	epi	total	15 --> 14	0 ==> 1	NS	0
epi_2brad_total	dollo	2b	epi	total	15 --> 14	0 ==> 1	Sign	129
epi_2brad_total	dollo	2b	epi	total	16 --> SnubR0158	0 ==> 1	NS	0
epi_2brad_total	dollo	2b	epi	total	16 --> SnubR0158	0 ==> 1	Sign	0
epi_2brad_total	dollo	2b	epi	total	16 --> SnubR0159	0 ==> 1	NS	0
epi_2brad_total	dollo	2b	epi	total	16 --> SnubR0159	0 ==> 1	Sign	0
epi_2brad_total	dollo	2b	epi	total	17 --> 15	0 ==> 1	NS	1041
epi_2brad_total	dollo	2b	epi	total	17 --> 15	0 ==> 1	Sign	25589
epi_2brad_total	dollo	2b	epi	total	17 --> 16	0 ==> 1	NS	0
epi_2brad_total	dollo	2b	epi	total	17 --> 16	0 ==> 1	Sign	78
epi_2brad_total	dollo	2b	epi	total	17 --> 18	0 ==> 1	NS	0
epi_2brad_total	dollo	2b	epi	total	17 --> 18	0 ==> 1	Sign	0
epi_2brad_total	dollo	2b	epi	total	18 --> AhahR0089a	0 ==> 1	NS	2
epi_2brad_total	dollo	2b	epi	total	18 --> AhahR0089a	0 ==> 1	Sign	0
epi_2brad_total	dollo	2b	epi	total	18 --> AhahR0090	0 ==> 1	NS	1
epi_2brad_total	dollo	2b	epi	total	18 --> AhahR0090	0 ==> 1	Sign	0
epi_2brad_total	dollo	2b	epi	total	11 --> EantT6857	1 <=> 0	NS	0
epi_2brad_total	dollo	2b	epi	total	11 --> EantT6857	1 <=> 0	Sign	0
epi_2brad_total	dollo	2b	epi	total	11 --> EantT6859a	1 <=> 0	NS	0
epi_2brad_total	dollo	2b	epi	total	11 --> EantT6859a	1 <=> 0	Sign	0
epi_2brad_total	dollo	2b	epi	total	12 --> EtriT6836	1 <=> 0	NS	0
epi_2brad_total	dollo	2b	epi	total	12 --> EtriT6836	1 <=> 0	Sign	0
epi_2brad_total	dollo	2b	epi	total	12 --> EtriT6842	1 <=> 0	NS	0
epi_2brad_total	dollo	2b	epi	total	12 --> EtriT6842	1 <=> 0	Sign	0
epi_2brad_total	dollo	2b	epi	total	13 --> 11	1 <=> 0	NS	0
